SMILES,Solvent,LGAC,Et30,SP,SdP,SA,SB
CCOc1ccc(/C=C/c2nc(N3CCOCC3)c3c([n+]2[O-])CCCC3)cc1,C(Cl)Cl,3.8751,40.7,0.761,0.769,0.04,0.178
COc1cc(/C=C/c2nc(N3CCOCC3)c3c([n+]2[O-])CCCC3)cc(OC)c1OC,C(Cl)Cl,3.8062,40.7,0.761,0.769,0.04,0.178
O=Cc1ccc(/C=C/c2nc(N3CCOCC3)c3c([n+]2[O-])CCCC3)cc1,C(Cl)Cl,3.5441,40.7,0.761,0.769,0.04,0.178
[O-][n+]1c(/C=C/c2ccc(/C=C/c3ccccc3)cc2)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,4,40.7,0.761,0.769,0.04,0.178
CCCCNc1nc(/C=C/c2ccccc2)[n+]([O-])c2c1CCCC2,C(Cl)Cl,3.415,40.7,0.761,0.769,0.04,0.178
COc1ccc(Nc2nc(/C=C/c3ccccc3)[n+]([O-])c3c2CCCC3)cc1,C(Cl)Cl,3.6335,40.7,0.761,0.769,0.04,0.178
[O-][n+]1c(/C=C/c2ccc3ccccc3c2)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,4,40.7,0.761,0.769,0.04,0.178
[O-][n+]1c(/C=C/c2cc3cccc4c5cccc6cccc(c(c2)c34)c65)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,4.4624,40.7,0.761,0.769,0.04,0.178
[O-][n+]1c(/C=C/c2cccs2)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,3.6021,40.7,0.761,0.769,0.04,0.178
[O-][n+]1c(-c2ccccc2)cc(N2CCOCC2)nc1/C=C/c1ccccc1,C(Cl)Cl,3.6232,40.7,0.761,0.769,0.04,0.178
[O-][n+]1c(-c2ccc(Br)cc2)cc(N2CCOCC2)nc1/C=C/c1ccccc1,C(Cl)Cl,3.5682,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2cc(CN)c(=N)oc2c1,C(Cl)Cl,4.6128,40.7,0.761,0.769,0.04,0.178
COc1ccc2cc(CN)c(=N)oc2c1,C(Cl)Cl,4.1903,40.7,0.761,0.769,0.04,0.178
COc1cccc2cc(CN)c(=N)oc12,C(Cl)Cl,3.5798,40.7,0.761,0.769,0.04,0.178
COc1ccc2oc(=N)c(CN)cc2c1,C(Cl)Cl,3.6812,40.7,0.761,0.769,0.04,0.178
CCOC(=O)/N=c1/oc2cc(N(CC)CC)ccc2cc1CN,C(Cl)Cl,4.5955,40.7,0.761,0.769,0.04,0.178
CCOC(=O)/N=c1/oc2ccc(OC)cc2cc1CN,C(Cl)Cl,3.7853,40.7,0.761,0.769,0.04,0.178
CCOC(=O)/N=c1/oc2cc(OC)cc(OC)c2cc1CN,C(Cl)Cl,4.382,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2cc(CN)c(=O)oc2c1,C(Cl)Cl,4.6684,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2ccc(=O)oc2c1,C(Cl)Cl,4.4713,40.7,0.761,0.769,0.04,0.178
c1cc2ccc3cccc4ccc(c1)c2c34,C1CCCCC1,4.67,30.9,0.683,0,0,0.073
c1cc2ccc3cccc4ccc(c1)c2c34,C(Cl)(Cl)Cl,4.57,39.1,0.783,0.614,0.047,0.071
NCc1ccc2ccc3cccc4ccc1c2c34,CO,4.55,55.4,0.608,0.904,0.605,0.545
NCc1ccc2ccc3cccc4ccc1c2c34,CC#N,4.54,45.6,0.645,0.974,0.044,0.286
CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,CO,4.41,55.4,0.608,0.904,0.605,0.545
CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,CC#N,4.61,45.6,0.645,0.974,0.044,0.286
CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,C(Cl)(Cl)Cl,4.55,39.1,0.783,0.614,0.047,0.071
CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],C1CCCCC1,4.6,30.9,0.683,0,0,0.073
CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],CO,4.32,55.4,0.608,0.904,0.605,0.545
CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],CC#N,4.56,45.6,0.645,0.974,0.044,0.286
CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],C(Cl)(Cl)Cl,4.53,39.1,0.783,0.614,0.047,0.071
CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,C1CCCCC1,4.42,30.9,0.683,0,0,0.073
CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,CO,4.43,55.4,0.608,0.904,0.605,0.545
CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,CC#N,4.56,45.6,0.645,0.974,0.044,0.286
CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1,C(Cl)(Cl)Cl,4.46,39.1,0.783,0.614,0.047,0.071
CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],C1CCCCC1,4.42,30.9,0.683,0,0,0.073
CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],CO,4.43,55.4,0.608,0.904,0.605,0.545
CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],CC#N,4.33,45.6,0.645,0.974,0.044,0.286
CC1(C)CC(/N=C/c2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1[O],C(Cl)(Cl)Cl,4.28,39.1,0.783,0.614,0.047,0.071
C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,C1CCOC1,4.7235,37.4,0.714,0.634,0,0.591
C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,CN(C)C=O,4.7126,43.2,0.759,0.977,0.031,0.613
C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,CS(=O)C,4.6739,45.1,0.83,1,0.072,0.647
C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,CO,4.6405,55.4,0.608,0.904,0.605,0.545
C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,CC#N,4.7226,45.6,0.645,0.974,0.044,0.286
Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CC(=O)C,4.7395,42.2,0.651,0.907,0,0.475
Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CN(C)C=O,4.7118,43.2,0.759,0.977,0.031,0.613
Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CS(=O)C,4.7582,45.1,0.83,1,0.072,0.647
Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CO,4.7243,55.4,0.608,0.904,0.605,0.545
Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CC#N,4.7193,45.6,0.645,0.974,0.044,0.286
Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,O,4.7143,63.1,0.681,0.997,1.062,0.025
c1ccc(Nc2ccc3ccccc3n2)cc1,CC1=CC=CC=C1,4.0562,33.9,0.782,0.284,0,0.128
COc1ccc(Nc2ccc3ccccc3n2)cc1,CC1=CC=CC=C1,3.9671,33.9,0.782,0.284,0,0.128
Clc1ccc(Nc2ccc3ccccc3n2)cc1,CC1=CC=CC=C1,4.1109,33.9,0.782,0.284,0,0.128
Fc1ccc(Nc2ccc3ccccc3n2)cc1,CC1=CC=CC=C1,3.9802,33.9,0.782,0.284,0,0.128
Brc1ccc(Nc2ccc3ccccc3n2)cc1,CC1=CC=CC=C1,4.0303,33.9,0.782,0.284,0,0.128
O=[N+]([O-])c1ccc(Nc2ccc3ccccc3n2)cc1,CC1=CC=CC=C1,4.5015,33.9,0.782,0.284,0,0.128
c1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(=O)C,3.9647,38.1,0.656,0.603,0,0.542
Cc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(=O)C,3.9416,38.1,0.656,0.603,0,0.542
CCc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(=O)C,4.248,38.1,0.656,0.603,0,0.542
COc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(=O)C,4.0166,38.1,0.656,0.603,0,0.542
Fc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(=O)C,4.0015,38.1,0.656,0.603,0,0.542
Brc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(=O)C,4.088,38.1,0.656,0.603,0,0.542
c1ccc(Nc2ccc3ccccc3n2)cc1,CCO,4.0482,51.9,0.633,0.783,0.4,0.658
CCc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,4.1272,51.9,0.633,0.783,0.4,0.658
COc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,4.0817,51.9,0.633,0.783,0.4,0.658
Brc1ccc(Nc2ccc3ccccc3n2)cc1,CCO,4.2153,51.9,0.633,0.783,0.4,0.658
O=[N+]([O-])c1ccc(Nc2ccc3ccccc3n2)cc1,CCO,4.4745,51.9,0.633,0.783,0.4,0.658
COc1cc(/C=C/CO)ccc1O,O,4.0739,63.1,0.681,0.997,1.062,0.025
COc1cc(/C=C/C(=O)O)ccc1O,O,4.1507,63.1,0.681,0.997,1.062,0.025
[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)[O-],O,3.729,63.1,0.681,0.997,1.062,0.025
COc1ccc(/C=C/C(=O)c2ccccc2O)cc1OC,CN(C)C=O,4.3424,43.2,0.759,0.977,0.031,0.613
COc1ccc(/C=C/C(=O)c2ccccc2O)cc1OC,CCO,4.2838,51.9,0.633,0.783,0.4,0.658
COc1ccc(/C=C/C(=O)c2ccccc2O)cc1OC,CO,4.3514,55.4,0.608,0.904,0.605,0.545
COc1ccc(/C=C/C(=O)c2ccccc2O)cc1OC,C(Cl)(Cl)Cl,4.2891,39.1,0.783,0.614,0.047,0.071
COc1ccc(/C=C/C(=O)c2ccccc2O)cc1OC,C(Cl)Cl,4.2833,40.7,0.761,0.769,0.04,0.178
COc1ccc(/C=C/C(=O)c2ccccc2O)cc1OC,CC#N,4.353,45.6,0.645,0.974,0.044,0.286
CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)[C@H](CO[Si](C)(C)C(C)(C)C)NC(=O)OC(C)(C)C)ccc12,C1CCOC1,4.1,37.4,0.714,0.634,0,0.591
CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)[C@H](CO[Si](C)(C)C(C)(C)C)NC(=O)OC(C)(C)C)ccc12,CCO,4.1,51.9,0.633,0.783,0.4,0.658
CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)[C@H](CO[Si](C)(C)C(C)(C)C)NC(=O)OC(C)(C)C)ccc12,CS(=O)C,4.06,45.1,0.83,1,0.072,0.647
CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)[C@H](CSCc3ccc(C)cc3)NC(=O)OC(C)(C)C)ccc12,C1CCOC1,4.01,37.4,0.714,0.634,0,0.591
CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)[C@H](CSCc3ccc(C)cc3)NC(=O)OC(C)(C)C)ccc12,CCO,3.89,51.9,0.633,0.783,0.4,0.658
CCOC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OC(=O)[C@H](CSCc3ccc(C)cc3)NC(=O)OC(C)(C)C)ccc12,CS(=O)C,4.04,45.1,0.83,1,0.072,0.647
F[B-]1(F)OC(c2ccc3c(c2)Cc2ccccc2-3)=CC(c2ccccc2)=[O+]1,CC#N,4.8055,45.6,0.645,0.974,0.044,0.286
COc1ccc(C2=[O+][B-](F)(F)OC(c3ccc4c(c3)Cc3ccccc3-4)=C2)cc1,CC#N,4.8555,45.6,0.645,0.974,0.044,0.286
c1ccc(-c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,C(Cl)Cl,4.89,40.7,0.761,0.769,0.04,0.178
Fc1ccc(-c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)c(F)c1,C(Cl)Cl,4.86,40.7,0.761,0.769,0.04,0.178
FC(F)(F)c1ccc(-c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,C(Cl)Cl,4.87,40.7,0.761,0.769,0.04,0.178
COc1ccc(-c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,C(Cl)Cl,4.71,40.7,0.761,0.769,0.04,0.178
CCCCCCn1c2ccccc2c2cc(-c3ccc(-c4cc(-c5ccccn5)nc(-c5ccccn5)c4)cc3)ccc21,C(Cl)Cl,4.52,40.7,0.761,0.769,0.04,0.178
CCCCCCC1(CCCCCC)c2ccccc2-c2ccc(-c3ccc(-c4cc(-c5ccccn5)nc(-c5ccccn5)c4)cc3)cc21,C(Cl)Cl,4.56,40.7,0.761,0.769,0.04,0.178
c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4cc(-c5ccccn5)nc(-c5ccccn5)c4)cc3)cc2)cc1,C(Cl)Cl,4.6,40.7,0.761,0.769,0.04,0.178
C(=C/c1nc(-c2ccccc2)[nH]c1/C=C/c1ccccc1)\c1ccccc1,C(Cl)Cl,4.6239,40.7,0.761,0.769,0.04,0.178
Cc1ccc(/C=C/c2nc(-c3ccccc3)[nH]c2/C=C/c2ccc(C)cc2)cc1,C(Cl)Cl,4.4962,40.7,0.761,0.769,0.04,0.178
COc1ccc(/C=C/c2nc(-c3ccccc3)[nH]c2/C=C/c2ccc(OC)cc2)cc1,C(Cl)Cl,4.8335,40.7,0.761,0.769,0.04,0.178
COc1ccc(/C=C/c2nc(-c3ccc(C)cc3)[nH]c2/C=C/c2ccc(OC)cc2)cc1,C(Cl)Cl,4.7952,40.7,0.761,0.769,0.04,0.178
Clc1ccc(/C=C/c2nc(-c3ccccc3)[nH]c2/C=C/c2ccc(Cl)cc2)cc1,C(Cl)Cl,4.7253,40.7,0.761,0.769,0.04,0.178
Cc1ccc(-c2nc(/C=C/c3ccc(Cl)cc3)c(/C=C/c3ccc(Cl)cc3)[nH]2)cc1,C(Cl)Cl,4.9077,40.7,0.761,0.769,0.04,0.178
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccccc3)ccc2-c2ccc(-c3ccccc3)cc21,C(Cl)(Cl)Cl,4.8814,39.1,0.783,0.614,0.047,0.071
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc([Si](C)(C)C)cc3)ccc2-c2ccc(-c3ccc([Si](C)(C)C)cc3)cc21,C(Cl)(Cl)Cl,4.9053,39.1,0.783,0.614,0.047,0.071
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(C(=O)OC)cc3)ccc2-c2ccc(-c3ccc(C(=O)OC)cc3)cc21,C(Cl)(Cl)Cl,4.8363,39.1,0.783,0.614,0.047,0.071
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc(-c3ccc([N+](=O)[O-])cc3)cc21,CN(C)C=O,4.6542,43.2,0.759,0.977,0.031,0.613
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc(-c3ccc([N+](=O)[O-])cc3)cc21,CS(=O)C,4.6243,45.1,0.83,1,0.072,0.647
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,CC1=CC=CC=C1,4.716,33.9,0.782,0.284,0,0.128
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,C(Cl)Cl,4.716,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,C(Cl)(Cl)Cl,4.6646,39.1,0.783,0.614,0.047,0.071
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,CCOC(=O)C,4.7118,38.1,0.656,0.603,0,0.542
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,C1CCOC1,4.7067,37.4,0.714,0.634,0,0.591
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,CC#N,4.6928,45.6,0.645,0.974,0.044,0.286
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,CN(C)C=O,4.7152,43.2,0.759,0.977,0.031,0.613
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,CS(=O)C,4.7101,45.1,0.83,1,0.072,0.647
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,CCO,4.6513,51.9,0.633,0.783,0.4,0.658
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,CO,4.6902,55.4,0.608,0.904,0.605,0.545
CCN(CC)c1ccc2cc(-c3cn4cc(C)ccc4n3)c(=O)oc2c1,C(Cl)(Cl)Cl,4.5798,39.1,0.783,0.614,0.047,0.071
CCN(CC)c1ccc2cc(-c3cn4cc(OC)ccc4n3)c(=O)oc2c1,C(Cl)(Cl)Cl,4.618,39.1,0.783,0.614,0.047,0.071
CCN(CC)c1ccc2cc(-c3cn4cc5ccccc5cc4n3)c(=O)oc2c1,C(Cl)(Cl)Cl,4.8439,39.1,0.783,0.614,0.047,0.071
CCCCN1C(=O)c2cccc3cc(CCCCc4cc5c6c(cccc6c4)C(=O)N(CCCC)C5=O)cc(c23)C1=O,C(Cl)Cl,4.4472,40.7,0.761,0.769,0.04,0.178
O=C1c2cccc3cc(CCCCc4cc5c6c(cccc6c4)C(=O)N(c4ccccc4)C5=O)cc(c23)C(=O)N1c1ccccc1,C(Cl)Cl,4.415,40.7,0.761,0.769,0.04,0.178
CCCCN1C(=O)c2cccc3c(CCCCc4ccc5c6c(cccc46)C(=O)N(CCCC)C5=O)ccc(c23)C1=O,C(Cl)Cl,4.4314,40.7,0.761,0.769,0.04,0.178
O=C1c2cccc3c(CCCCc4ccc5c6c(cccc46)C(=O)N(c4ccccc4)C5=O)ccc(c23)C(=O)N1c1ccccc1,C(Cl)Cl,4.415,40.7,0.761,0.769,0.04,0.178
Cc1ccc([C@@H]2C[C@](O)(c3ccccn3)C[C@](O)(c3ccccn3)[C@H]2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,C(Cl)Cl,4.5018,40.7,0.761,0.769,0.04,0.178
Cc1ccc([C@@H]2C[C@](O)(c3ccccn3)C[C@](O)(c3ccccn3)[C@H]2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,C1CCOC1,4.4614,37.4,0.714,0.634,0,0.591
Cc1ccc([C@@H]2C[C@](O)(c3ccccn3)C[C@](O)(c3ccccn3)[C@H]2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,CCO,4.4571,51.9,0.633,0.783,0.4,0.658
Cc1ccc([C@@H]2C[C@](O)(c3ccccn3)C[C@](O)(c3ccccn3)[C@H]2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,CCOC(=O)C,4.4645,38.1,0.656,0.603,0,0.542
Cc1ccc([C@@H]2C[C@](O)(c3ccccn3)C[C@](O)(c3ccccn3)[C@H]2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,CC#N,4.4738,45.6,0.645,0.974,0.044,0.286
Cc1ccc([C@@H]2C[C@](O)(c3ccccn3)C[C@](O)(c3ccccn3)[C@H]2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,CN(C)C=O,4.4429,43.2,0.759,0.977,0.031,0.613
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccccc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,C(Cl)Cl,4.4603,40.7,0.761,0.769,0.04,0.178
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccccc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,C1CCOC1,4.4494,37.4,0.714,0.634,0,0.591
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccccc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,CCO,4.4241,51.9,0.633,0.783,0.4,0.658
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccccc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,CCOC(=O)C,4.4451,38.1,0.656,0.603,0,0.542
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccccc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,CC#N,4.4344,45.6,0.645,0.974,0.044,0.286
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccccc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,CN(C)C=O,4.3969,43.2,0.759,0.977,0.031,0.613
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2cccs2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,C(Cl)Cl,4.5406,40.7,0.761,0.769,0.04,0.178
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2cccs2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,C1CCOC1,4.4964,37.4,0.714,0.634,0,0.591
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2cccs2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,CCO,4.4894,51.9,0.633,0.783,0.4,0.658
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2cccs2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,CCOC(=O)C,4.5044,38.1,0.656,0.603,0,0.542
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2cccs2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,CC#N,4.5145,45.6,0.645,0.974,0.044,0.286
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2cccs2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,CN(C)C=O,4.4595,43.2,0.759,0.977,0.031,0.613
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccc(F)cc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,C1CCCCC1,4.3756,30.9,0.683,0,0,0.073
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccc(F)cc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,C(Cl)Cl,4.3752,40.7,0.761,0.769,0.04,0.178
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccc(F)cc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,C1CCOC1,4.3705,37.4,0.714,0.634,0,0.591
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccc(F)cc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,CCO,4.369,51.9,0.633,0.783,0.4,0.658
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccc(F)cc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,CCOC(=O)C,4.3526,38.1,0.656,0.603,0,0.542
O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)[C@H]1[C@H](c2ccc(F)cc2)C[C@](O)(c2ccccn2)C[C@]1(O)c1ccccn1,CN(C)C=O,4.3364,43.2,0.759,0.977,0.031,0.613
COc1ccc([C@@H]2C[C@](O)(c3ccccn3)C[C@](O)(c3ccccn3)[C@H]2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,C(Cl)Cl,4.4219,40.7,0.761,0.769,0.04,0.178
COc1ccc([C@@H]2C[C@](O)(c3ccccn3)C[C@](O)(c3ccccn3)[C@H]2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,CCO,4.3926,51.9,0.633,0.783,0.4,0.658
COc1ccc([C@@H]2C[C@](O)(c3ccccn3)C[C@](O)(c3ccccn3)[C@H]2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,CCOC(=O)C,4.4155,38.1,0.656,0.603,0,0.542
COc1ccc([C@@H]2C[C@](O)(c3ccccn3)C[C@](O)(c3ccccn3)[C@H]2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,CC#N,4.4135,45.6,0.645,0.974,0.044,0.286
COc1ccc([C@@H]2C[C@](O)(c3ccccn3)C[C@](O)(c3ccccn3)[C@H]2C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,CN(C)C=O,4.368,43.2,0.759,0.977,0.031,0.613
COc1ccc(Oc2ccc3c4c(cccc24)C(=O)N(c2c(C(C)C)cccc2C(C)C)C3=O)cc1,C(Cl)Cl,4.32,40.7,0.761,0.769,0.04,0.178
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc3c(Oc4ccc(C(C)(C)C)cc4)ccc(c23)C1=O,C(Cl)Cl,4.27,40.7,0.761,0.769,0.04,0.178
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc3c(Oc4ccc(C(C)(C)c5ccccc5)cc4)ccc(c23)C1=O,C(Cl)Cl,4.11,40.7,0.761,0.769,0.04,0.178
COC(=O)c1ccc(Oc2ccc3c4c(cccc24)C(=O)N(c2c(C(C)C)cccc2C(C)C)C3=O)cc1,C(Cl)Cl,4.3,40.7,0.761,0.769,0.04,0.178
COc1ccc(-c2csc(/C(=C/c3ccc(Cl)cc3)CN)n2)cc1,CC#N,4.0755,45.6,0.645,0.974,0.044,0.286
NC/C(=C\c1ccc(Cl)cc1)c1nc(-c2ccccc2)cs1,CC#N,4.4654,45.6,0.645,0.974,0.044,0.286
COc1ccc(-c2csc(/C(=C/c3ccc(C(F)(F)F)cc3)CN)n2)cc1,CC#N,4.0086,45.6,0.645,0.974,0.044,0.286
NC/C(=C\c1ccc(C(F)(F)F)cc1)c1nc(-c2ccc(Cl)cc2)cs1,CC#N,4.0792,45.6,0.645,0.974,0.044,0.286
COc1ccc(-c2csc(/C(=C/c3ccc(CN)cc3)CN)n2)cc1,CC#N,3.8633,45.6,0.645,0.974,0.044,0.286
NC/C(=C\c1ccc(CN)cc1)c1nc(-c2ccccc2)cs1,CC#N,4.2095,45.6,0.645,0.974,0.044,0.286
NC/C(=C\c1ccc(CN)cc1)c1nc(-c2ccc(Cl)cc2)cs1,CC#N,4.0492,45.6,0.645,0.974,0.044,0.286
NC/C(=C\c1ccc([N+](=O)[O-])cc1)c1nc(-c2ccccc2)cs1,CC#N,4.281,45.6,0.645,0.974,0.044,0.286
